"CompanyName","Hour","HighestPrice","HighestOccured"
"SNAP","2020-05-14 15:08:00-04:00","16.969999313354492","2020-05-14 15:08:00-04:00"
"SNAP","2020-05-14 15:09:00-04:00","16.969999313354492","2020-05-14 15:09:00-04:00"
"SQ","2020-05-14 09:46:00-04:00","72.80999755859375","2020-05-14 09:46:00-04:00"
"SQ","2020-05-14 10:59:00-04:00","75.58999633789062","2020-05-14 10:59:00-04:00"
"SQ","2020-05-14 11:09:00-04:00","76.48999786376953","2020-05-14 11:09:00-04:00"
"SQ","2020-05-14 12:59:00-04:00","76.75","2020-05-14 12:59:00-04:00"
"SQ","2020-05-14 13:48:00-04:00","77.18000030517578","2020-05-14 13:48:00-04:00"
"SQ","2020-05-14 14:59:00-04:00","77.26000213623047","2020-05-14 14:59:00-04:00"
"SQ","2020-05-14 15:57:00-04:00","78.25","2020-05-14 15:57:00-04:00"
"TTD","2020-05-14 09:31:00-04:00","289.44989013671875","2020-05-14 09:31:00-04:00"
"TTD","2020-05-14 10:53:00-04:00","290.07000732421875","2020-05-14 10:53:00-04:00"
"TTD","2020-05-14 11:18:00-04:00","296.8562927246094","2020-05-14 11:18:00-04:00"
"TTD","2020-05-14 12:57:00-04:00","294.5","2020-05-14 12:57:00-04:00"
"TTD","2020-05-14 13:31:00-04:00","296.0","2020-05-14 13:31:00-04:00"
"TTD","2020-05-14 14:59:00-04:00","295.7699890136719","2020-05-14 14:59:00-04:00"
"TTD","2020-05-14 15:24:00-04:00","297.6700134277344","2020-05-14 15:24:00-04:00"
